id	1_pe	2_pe	3_pe	4_pe	5_pe	6_pe	7_pe	8_pe	geneCoordinate	geneSymbol	logFC	LimmaVoom.pvalue	BH.qvalue
ENSMUSG00000022129	18	44	21	31	18	11	20	12	chr14:118012592-118052446	Dct	-0.854114458541513	0.0385337099984922	0.493986621293328
ENSMUSG00000033355	72	41	90	70	55	39	46	27	chr16:23609719-23614422	Rtp4	-0.694932463201672	0.0385407300631093	0.493986621293328
ENSMUSG00000037962	18	32	22	22	11	24	12	7	chr5:125003021-125012747	Fam101a	-0.932972856130244	0.0385670951945848	0.493986621293328
ENSMUSG00000007891	13536	18129	16482	16161	13581	15138	13778	12941	chr7:142370948-142388238	Ctsd	-0.208596179748283	0.0385965655761451	0.493986621293328
ENSMUSG00000070407	33	38	35	38	6	44	21	15	chr11:63885592-63922490	Hs3st3b1	-1.00705403342321	0.0386635236419651	0.493986621293328
ENSMUSG00000026970	565	726	745	504	585	545	438	367	chr2:60749993-60963392	Rbms1	-0.396401097320595	0.0386809775250653	0.493986621293328
ENSMUSG00000021497	2427	2454	2388	2875	2292	2213	2284	2133	chr13:55714450-55726421	Txndc15	-0.181607202603624	0.0386827905799652	0.493986621293328
ENSMUSG00000021998	442	433	436	536	440	382	368	349	chr14:75130901-75231042	Lcp1	-0.264081859490212	0.0386873497302613	0.493986621293328
ENSMUSG00000025927	52	36	146	34	22	27	29	26	chr1:19208714-19238776	Tfap2b	-1.07760678394427	0.0386908966115684	0.493986621293328
ENSMUSG00000027804	3425	3131	3278	3108	2800	3049	2982	2757	chr3:79591142-79603850	Ppid	-0.159356390150392	0.0386948661684749	0.493986621293328
ENSMUSG00000043008	62	86	74	73	47	55	62	51	chr16:19946299-19983237	Klhl6	-0.451866545868441	0.0387218419125917	0.493986621293328
ENSMUSG00000055138	0	0	0	0	6	4	0	0	chr3:137549845-137552822	Gm4861	1.60074276643849	0.038726376606556	0.493986621293328
ENSMUSG00000056755	2019	1826	1734	1783	1921	2107	2116	2186	chr6:110645381-111567430	Grm7	0.178946658787931	0.0387624331262071	0.493986621293328
ENSMUSG00000030614	1456	1497	1522	1456	1205	1394	1266	1393	chr7:90467238-90476201	Tmem126b	-0.176731330501234	0.0387804469701174	0.493986621293328
ENSMUSG00000025171	406	348	425	417	355	334	322	335	chr19:41981563-42034841	Ubtd1	-0.241466535818483	0.0387853115294595	0.493986621293328
ENSMUSG00000028675	2160	2081	2068	2509	2105	1917	1878	1742	chr4:135870718-135874050	Pnrc2	-0.205151697730404	0.0387899399620402	0.493986621293328
ENSMUSG00000098488	8	8	7	7	18	11	18	9	chr2:120033217-120043230	Pla2g4b	0.850473423544057	0.0387999685070061	0.493986621293328
ENSMUSG00000086852	0	0	0	0	0	0	1	2	chr13:31328375-31330967	Gm11374	1.04148154985899	0.0388041163290655	0.493986621293328
ENSMUSG00000055555	12	7	9	15	10	0	4	5	chrX:53724626-53738641	4930502E18Rik	-1.67741353527578	0.0388403780292714	0.493986621293328
ENSMUSG00000019850	352	219	230	275	303	345	327	396	chr10:19000710-19015857	Tnfaip3	0.366933323187191	0.0388601170241264	0.493986621293328
ENSMUSG00000022715	156	166	151	121	186	179	199	177	chr16:8409076-8425336	Tmem114	0.324779774385731	0.0388601921860128	0.493986621293328
ENSMUSG00000035392	2131	2064	2034	1995	2160	2365	2333	2298	chr2:37798791-38287590	Dennd1a	0.15428554074578	0.0388636479692594	0.493986621293328
ENSMUSG00000064307	133	146	179	160	111	127	134	109	chr7:101912784-101934095	Lrrc51	-0.354345806007687	0.0388684305638612	0.493986621293328
ENSMUSG00000102870	0	4	1	1	0	0	0	0	chr1:167140955-167142022	Gm17868	-1.26036021448306	0.0388931056036984	0.493986621293328
ENSMUSG00000081179	10	8	3	8	1	4	1	6	chr4:147735277-147738626	Gm13136	-1.4615319047081	0.0388988842285082	0.493986621293328
ENSMUSG00000066592	13	7	13	10	4	7	7	4	chr9:59145477-59146410	Gm7589	-0.890919043063276	0.0389162238580611	0.493986621293328
ENSMUSG00000044788	1101	1465	1678	1323	1221	1156	1158	956	chr11:115279422-115297863	Fads6	-0.298937144618424	0.0389315150945737	0.493986621293328
ENSMUSG00000037846	68	128	120	139	86	80	77	46	chr10:67979370-68059940	Rtkn2	-0.643036741703441	0.0390434030177265	0.494857262709132
ENSMUSG00000035394	20	58	35	23	21	14	22	11	chr18:74282890-74360186	Cfap53	-0.922325393937065	0.0390492858709502	0.494857262709132
ENSMUSG00000024043	43	42	71	40	9	63	31	12	chr17:67842513-68004320	Arhgap28	-1.13434577549409	0.0390631734884416	0.494857262709132
ENSMUSG00000039953	38689	38285	36586	36113	37673	45914	41756	41698	chr4:149586268-149649099	Clstn1	0.155466934824078	0.0390872291061942	0.494857262709132
ENSMUSG00000108496	3	8	0	5	1	0	1	0	chr6:71671895-71672878	RP23-402P24.8	-1.67584893574178	0.0390970155449168	0.494857262709132
ENSMUSG00000024538	115	102	65	95	80	61	69	48	chr18:53406141-53418207	Ppic	-0.543961197986937	0.0391150627255573	0.494857262709132
ENSMUSG00000028028	156	192	165	205	158	133	137	137	chr3:127670110-127780727	Alpk1	-0.333595790070046	0.0391989865366277	0.49500597419429
ENSMUSG00000031220	3	6	15	6	3	1	2	4	chrX:100402021-100442917	Awat2	-1.29581261289265	0.0392062769244043	0.49500597419429
ENSMUSG00000085669	0	0	0	0	1	0	1	2	chrX:73795015-73797816	Gm14817	1.03304980047944	0.0392361833595086	0.49500597419429
ENSMUSG00000046808	125	126	106	88	90	85	87	66	chr5:72203129-72298975	Atp10d	-0.430921282275769	0.0392449977472239	0.49500597419429
ENSMUSG00000041684	964	918	1014	1087	867	843	886	897	chr1:44118757-44144970	Bivm	-0.187439967569678	0.0392511065875895	0.49500597419429
ENSMUSG00000102422	10	4	8	13	3	4	0	6	chr3:67892032-68626666	Schip1	-1.29138186387287	0.0392572068907559	0.49500597419429
ENSMUSG00000031510	0	1	0	0	0	0	3	2	chr8:11713064-11722820	1700128E19Rik	1.13999805124227	0.0392609445352675	0.49500597419429
ENSMUSG00000025921	518	642	588	556	496	530	487	450	chr1:16105574-16133934	Rdh10	-0.230999522584047	0.039324461818795	0.495564949574024
ENSMUSG00000096433	304	315	384	330	272	278	290	268	chr17:22197065-22225814	Gm4944	-0.258788042870971	0.0393604104748929	0.495776130769567
ENSMUSG00000024393	15290	15387	15607	12986	17338	15409	16502	17535	chr17:35148876-35165097	Prrc2a	0.174301938276441	0.0394387851695007	0.496055801052058
ENSMUSG00000021136	607	664	546	696	524	522	553	539	chr12:81026608-81186614	Smoc1	-0.226859513800358	0.0394443708199956	0.496055801052058
ENSMUSG00000000901	43	53	44	53	36	38	35	26	chr10:75923022-75932702	Mmp11	-0.513094030827869	0.0394590379040612	0.496055801052058
ENSMUSG00000031451	3386	4949	4380	3448	3053	3747	3341	2884	chr8:13465174-13494735	Gas6	-0.299570797502308	0.0394626627204195	0.496055801052058
ENSMUSG00000070490	10	12	17	13	5	9	8	5	chr3:52612635-52614036	Gm10293	-0.840716144913742	0.0394892342137545	0.496055801052058
ENSMUSG00000036053	2810	2814	2557	2663	2573	2431	2452	2159	chr2:52857660-53134402	Fmnl2	-0.175272019527512	0.0395159597937074	0.496055801052058
ENSMUSG00000029185	238	298	285	274	210	265	208	206	chr5:64969871-65042086	Fam114a1	-0.303337714148888	0.0395170255696034	0.496055801052058
ENSMUSG00000052681	2716	2786	2668	3581	2347	2774	2357	2424	chr10:117814271-117846135	Rap1b	-0.239591042285743	0.0395684533446912	0.496460137788612
ENSMUSG00000030335	1507	1566	1647	1756	1365	1488	1470	1404	chr6:125191601-125196469	Mrpl51	-0.17601915947917	0.0396866379762079	0.497701264794832
ENSMUSG00000039065	283	293	354	318	293	255	229	246	chr15:31601652-31621427	Fam173b	-0.285985625929683	0.0397089604121318	0.497739584321695
ENSMUSG00000047123	255	270	259	264	228	208	234	211	chr17:56269119-56276986	Ticam1	-0.248808111749558	0.0397312350070553	0.497777267299838
ENSMUSG00000001865	0	3	4	15	0	0	0	1	chr3:20215420-20242381	Cpa3	-1.82343160564248	0.0397657623453015	0.497968349214018
ENSMUSG00000105000	1	1	0	2	0	0	0	0	chr3:143575333-143577201	Gm43616	-1.05402062922051	0.0397966987967646	0.498114300734311
ENSMUSG00000024614	3343	3462	3567	3796	3086	3498	2992	2980	chr18:90509954-90543467	Tmx3	-0.175833638079384	0.0399052209778454	0.498609672905475
ENSMUSG00000031207	1203	1342	1449	1377	1291	1124	1195	1007	chrX:96095842-96168752	Msn	-0.220098369944602	0.0399104632050292	0.498609672905475
ENSMUSG00000029632	8004	8756	8781	11464	7467	8328	7396	7936	chr6:11900092-11907697	Ndufa4	-0.237665010014844	0.0399355674135794	0.498609672905475
ENSMUSG00000028737	569	584	603	620	542	484	561	460	chr4:139622666-139649890	Aldh4a1	-0.217946612153825	0.0399498195729669	0.498609672905475
ENSMUSG00000041670	2789	2671	2410	2237	2695	3670	2820	2882	chr1:22286051-22805924	Rims1	0.250029384020134	0.0399681097907519	0.498609672905475
ENSMUSG00000048938	4	0	1	0	0	0	0	0	chr3:102939458-102964333	Nr1h5	-1.28065327321349	0.0399739298085498	0.498609672905475
ENSMUSG00000026475	282	374	499	331	234	360	266	217	chr1:153740149-153745668	Rgs16	-0.459046118761299	0.0399839435894657	0.498609672905475
ENSMUSG00000104093	66	139	105	88	106	35	48	57	chr3:65132860-65302885	A330015K06Rik	-0.758425450193061	0.039990680586055	0.498609672905475
ENSMUSG00000027488	1671	1655	1497	1791	1460	1428	1498	1463	chr2:154376113-154408299	Snta1	-0.17462029375862	0.0400883179306506	0.498755168290556
ENSMUSG00000026880	625	698	613	800	658	601	500	480	chr2:35313786-35337176	Stom	-0.293713942429053	0.0400907409418416	0.498755168290556
ENSMUSG00000090553	765	764	809	1080	695	734	681	700	chr1:133603671-133610491	Snrpe	-0.26810859819996	0.0401008395324776	0.498755168290556
ENSMUSG00000056917	518	528	476	580	467	372	488	435	chr19:5650985-5663907	Sipa1	-0.257486211315197	0.0401055872392041	0.498755168290556
ENSMUSG00000085434	1	0	0	0	1	1	1	3	chr11:117871050-117887616	Gm11725	1.23909109015358	0.0401348953809837	0.498755168290556
ENSMUSG00000047554	1291	1304	1387	1314	1217	1190	1169	1167	chr7:109971987-109987129	Tmem41b	-0.158430972094964	0.0401711028973551	0.498755168290556
ENSMUSG00000002015	2048	2226	2307	2755	1854	2146	1992	1981	chrX:73685978-73716375	Bcap31	-0.220984721391271	0.0401825679334459	0.498755168290556
ENSMUSG00000054640	1924	1553	1691	1155	1844	1807	1884	2331	chr17:81388491-81649807	Slc8a1	0.33161624870797	0.0402172794425791	0.498755168290556
ENSMUSG00000021553	18	66	40	13	5	30	13	2	chr13:58545199-58611077	Slc28a3	-1.68029007414951	0.0402328094751995	0.498755168290556
ENSMUSG00000044216	2128	2767	2069	2863	3001	3531	2710	2720	chr15:79483518-79505441	Kcnj4	0.290522523559109	0.0402452469354264	0.498755168290556
ENSMUSG00000085042	17	42	76	32	16	21	14	21	chr5:135011914-135013453	Abhd11os	-1.01828081031996	0.040271166532881	0.498755168290556
ENSMUSG00000021811	1150	1195	1225	1443	1099	1126	1040	1081	chr14:20384438-20389110	Dnajc9	-0.2010417670017	0.0402874050824852	0.498755168290556
ENSMUSG00000007833	163	244	201	197	170	158	165	124	chr7:45141642-45154738	Aldh16a1	-0.377271331513417	0.0403515110280838	0.498755168290556
ENSMUSG00000009079	5636	5678	5763	5278	6170	6088	6507	5936	chr11:5069489-5099466	Ewsr1	0.143900998816882	0.0403539155798262	0.498755168290556
ENSMUSG00000040390	5774	5749	5761	6424	6485	6539	6339	6947	chr7:27656175-27674798	Map3k10	0.150966931641059	0.0403697145240718	0.498755168290556
ENSMUSG00000073676	2214	2092	2098	2902	1781	2087	1789	2062	chr1:55087932-55091507	Hspe1	-0.260280617080538	0.0403793314744136	0.498755168290556
ENSMUSG00000036006	3490	2711	2872	3019	3064	3831	3587	3601	chr13:24581989-24734016	Fam65b	0.221255526764147	0.0403852601270929	0.498755168290556
ENSMUSG00000025014	7	6	3	9	1	2	0	7	chr19:41029075-41059723	Dntt	-1.48459349020054	0.0403873541469045	0.498755168290556
ENSMUSG00000045349	2144	2093	1937	2209	2382	2451	2341	2217	chr4:138250203-138261532	Sh2d5	0.164383361045247	0.0404097503755269	0.498755168290556
ENSMUSG00000032902	2005	1883	2213	2221	1944	1907	1619	1776	chr3:104638468-104658662	Slc16a1	-0.200030865190299	0.0404187252911037	0.498755168290556
ENSMUSG00000040370	721	913	997	946	797	772	720	692	chr6:145210934-145217139	Lyrm5	-0.254115142554367	0.0404329555615087	0.498755168290556
ENSMUSG00000051515	299	278	333	304	255	249	242	272	chr7:93079665-93082067	Fam181b	-0.250625889485887	0.0404339328532969	0.498755168290556
ENSMUSG00000064367	108628	132829	119488	130696	168635	138637	124164	141790	chrM:11542-13765	mt-Nd5	0.21729347188462	0.0404633418055116	0.498755168290556
ENSMUSG00000066257	0	0	0	0	2	0	0	1	chr16:59344522-59345926	Olfr206	1.02758298913752	0.0404732211305193	0.498755168290556
ENSMUSG00000105408	1	14	4	4	1	1	1	3	chr5:137601393-137602372	Gm7285	-1.56191601754541	0.0404915764501705	0.498755168290556
ENSMUSG00000055271	13	26	18	15	10	10	10	10	chr12:103406622-103408020	9330161L09Rik	-0.762134627947816	0.0405418967319236	0.498755168290556
ENSMUSG00000109228	16	57	35	15	9	17	13	9	chr13:76201508-76305272	Fam81b	-1.12819554381405	0.0405486863221351	0.498755168290556
ENSMUSG00000032446	37	216	116	49	34	53	26	26	chr9:118478012-118486332	Eomes	-1.3008179199403	0.0405771245466262	0.498755168290556
ENSMUSG00000013928	2	1	5	1	0	1	0	1	chr7:30279894-30290437	Thap8	-1.18084378512487	0.0406456403640454	0.498755168290556
ENSMUSG00000042766	2823	2179	2351	2324	2645	2880	2833	2700	chr3:89233977-89246509	Trim46	0.198357844329974	0.0407422554010297	0.498755168290556
ENSMUSG00000022663	1417	1423	1526	1584	1311	1348	1277	1361	chr16:45158585-45188738	Atg3	-0.166648478996118	0.0408300780898204	0.498755168290556
ENSMUSG00000021022	688	663	631	869	623	649	543	532	chr12:55280614-55303200	Ppp2r3c	-0.273835447834297	0.0408380968955078	0.498755168290556
ENSMUSG00000001864	343	583	523	677	514	365	327	266	chr2:31949939-31973642	Aif1l	-0.529234573891006	0.0408657643691283	0.498755168290556
ENSMUSG00000109367	23	29	31	31	24	18	17	15	chr7:80979693-80981491	RP24-120F8.3	-0.617170822843535	0.0408749842784408	0.498755168290556
ENSMUSG00000000202	555	655	767	783	613	542	585	516	chr11:114791017-114796145	Btbd17	-0.280377872379138	0.0408953695518117	0.498755168290556
ENSMUSG00000023052	8	1	1	0	7	2	10	6	chr15:102523639-102525142	Npff	1.76720279526046	0.0409077801552931	0.498755168290556
ENSMUSG00000025478	821	800	738	955	872	1025	1027	947	chr7:139085801-139102904	Dpysl4	0.22729760716645	0.040910569017311	0.498755168290556
ENSMUSG00000101249	247	272	307	292	308	220	144	170	chr1:24615506-24616397	Gm29216	-0.465311345682425	0.0409112608950145	0.498755168290556
ENSMUSG00000072969	801	922	801	888	913	1080	949	983	chrX:135742533-135747522	Armcx5	0.202063920906852	0.0409120039768331	0.498755168290556
ENSMUSG00000025935	1228	1448	1348	1451	1246	1300	1128	1064	chr1:13564498-13590110	Tram1	-0.209790049105368	0.0409134632989661	0.498755168290556
ENSMUSG00000092402	0	3	1	0	0	0	0	0	chr5:136863437-136869922	Gm20485	-1.25039621813349	0.0409199614301106	0.498755168290556
ENSMUSG00000005823	621	733	761	714	615	626	627	571	chr17:57234714-57247841	Gpr108	-0.211024792590881	0.0409340386954789	0.498755168290556
ENSMUSG00000067860	137	233	348	115	104	160	106	73	chrX:58022500-58041936	Zic3	-0.824755146608471	0.0409698033518452	0.498755168290556
ENSMUSG00000060212	3474	3274	3386	2620	3369	3666	3796	3992	chr8:125751308-125898517	Pcnxl2	0.222676806913433	0.0409764154968586	0.498755168290556
ENSMUSG00000028468	1308	1418	1368	1176	1475	1506	1534	1444	chr4:43578515-43587687	Rgp1	0.18044681495647	0.0409906423811488	0.498755168290556
ENSMUSG00000002846	582	569	643	650	494	532	541	549	chr16:38498147-38522863	Timmdc1	-0.205792874322801	0.0409995132129445	0.498755168290556
ENSMUSG00000059149	1782	1849	1930	1475	2222	1903	1987	2035	chr1:132022606-132068262	Mfsd4	0.216373681513321	0.041010066763097	0.498755168290556
ENSMUSG00000044667	18196	16623	16092	14890	18698	16604	19473	19879	chr3:117318939-117361076	Plppr4	0.182382264079801	0.0410313544818934	0.498755168290556
ENSMUSG00000048600	0	0	2	0	4	8	1	1	chrX:142631283-142634215	Gm5763	1.58808612727065	0.0410468843677616	0.498755168290556
ENSMUSG00000061517	333	317	346	484	468	541	394	454	chr14:118233032-118237230	Sox21	0.340431489664692	0.041056414308085	0.498755168290556
ENSMUSG00000020232	524	597	609	574	479	496	504	519	chr10:81345848-81350680	Hmg20b	-0.204136711882106	0.0411060894504022	0.498755168290556
ENSMUSG00000022016	14457	14261	13523	11582	15545	14540	14861	15642	chr14:78492046-78537060	Akap11	0.175527440110976	0.04111870822944	0.498755168290556
ENSMUSG00000026005	1240	1182	1280	1397	1065	1116	1180	1127	chr1:66700631-66720005	Rpe	-0.182276506432987	0.0411297960097688	0.498755168290556
ENSMUSG00000034427	9	6	1	4	1	1	1	3	chr11:115858206-115892803	Myo15b	-1.42656810004563	0.0411299958552217	0.498755168290556
ENSMUSG00000108905	5	3	5	1	3	8	11	13	chr7:28629048-28682136	RP24-177G14.2	1.26289297952151	0.0411393085337156	0.498755168290556
ENSMUSG00000035860	62	131	179	121	71	81	69	64	chr12:33033596-33093075	Cdhr3	-0.69071108359315	0.0411974923054157	0.498755168290556
ENSMUSG00000054302	1830	2002	1942	1999	1744	1728	1733	1782	chr12:54670140-54696097	Eapp	-0.152590764672474	0.0412049971988656	0.498755168290556
ENSMUSG00000104449	0	0	0	0	1	3	1	0	chr2:12372012-12375471	Gm37255	1.29054109204464	0.0412088783734034	0.498755168290556
ENSMUSG00000031231	4678	4904	5209	6546	4140	4908	4353	4554	chrX:106015500-106022650	Cox7b	-0.239421780890837	0.0412577710274609	0.498755168290556
ENSMUSG00000028749	151	192	172	157	177	37	115	112	chr4:138750333-138757826	Pla2g2f	-0.810373135395543	0.0412581025524428	0.498755168290556
ENSMUSG00000018593	11545	9904	15666	17715	9311	10239	11059	11010	chr11:55394300-55420280	Sparc	-0.362714634136744	0.0412653953761348	0.498755168290556
ENSMUSG00000042010	294	520	447	242	306	257	238	184	chr5:114146335-114250961	Acacb	-0.564898410916046	0.0412702643925812	0.498755168290556
ENSMUSG00000052488	1628	1603	1721	1392	1801	1657	1952	1865	chr8:72460289-72475433	Cherp	0.199036366895569	0.0412803941576357	0.498755168290556
ENSMUSG00000084093	8	3	9	4	2	1	2	6	chr1:166431505-166432075	Gm16418	-1.46629194809796	0.0412869030576384	0.498755168290556
ENSMUSG00000097705	1	2	1	1	1	0	0	0	chr10:22186813-22303035	Gm26740	-0.896227853852529	0.0413185984347805	0.498755168290556
ENSMUSG00000000171	3292	3450	3752	4739	2959	3392	3090	3263	chr9:50596138-50604049	Sdhd	-0.249218252783072	0.0413574622005489	0.498755168290556
ENSMUSG00000083624	0	3	8	4	0	0	0	0	chr4:54235470-54236076	Gm12469	-1.69423708787976	0.0413710674918606	0.498755168290556
ENSMUSG00000005667	280	296	417	345	269	276	285	216	chr6:83305491-83326108	Mthfd2	-0.347338055477376	0.0413805396755381	0.498755168290556
ENSMUSG00000102964	1	7	3	2	0	0	0	1	chr1:156026023-156030207	9430034N14Rik	-1.42427984846999	0.0413840810088348	0.498755168290556
ENSMUSG00000027965	1087	1130	1908	1450	1028	1290	876	943	chr3:114903878-115125922	Olfm3	-0.407946709839533	0.0413851217170544	0.498755168290556
ENSMUSG00000020432	773	1535	1137	892	754	912	826	577	chr11:3916992-3932359	Tcn2	-0.469293509313629	0.0414076435607102	0.498755168290556
ENSMUSG00000042788	37	42	83	44	34	32	24	32	chr4:43426819-43429334	Fam166b	-0.683050879465521	0.0414167268638011	0.498755168290556
ENSMUSG00000050587	3322	3025	2783	3276	3340	4047	3261	3668	chr2:96317969-97631866	Lrrc4c	0.204821015976394	0.0414457650320537	0.498755168290556
ENSMUSG00000032383	1838	1909	1846	2117	1608	1769	1757	1704	chr9:66059969-66066829	Ppib	-0.172184885080355	0.0414475267309504	0.498755168290556
ENSMUSG00000040234	2249	2450	2503	2549	2475	1861	2175	1899	chr6:146602152-146643024	Tm7sf3	-0.221705765705501	0.0414648468019912	0.498755168290556
ENSMUSG00000097242	2	5	3	8	6	10	7	14	chr13:63289401-63297347	Gm16907	1.15830768326442	0.0414881368093349	0.498755168290556
ENSMUSG00000026829	15	22	24	27	16	17	11	3	chr2:28496691-28505615	Gbgt1	-1.04660199509329	0.0414889237693119	0.498755168290556
ENSMUSG00000034912	1123	941	1068	932	1147	1214	1111	1169	chr12:66469368-67222749	Mdga2	0.195196115029665	0.0415550749226665	0.499260526977201
ENSMUSG00000040610	3	4	29	5	2	1	1	2	chr11:33200552-33203789	Tlx3	-1.5392139243915	0.0415883178474808	0.499260526977201
ENSMUSG00000027716	253	379	728	279	191	318	245	166	chr3:36620282-36690367	Trpc3	-0.742586574421094	0.0416094799505493	0.499260526977201
ENSMUSG00000027863	0	0	0	0	0	1	3	1	chr3:101275699-101288139	Cd2	1.22181196066482	0.0416108399845137	0.499260526977201
ENSMUSG00000083914	6	6	1	3	2	0	1	1	chr4:71370538-71371396	Rps18-ps1	-1.48581861990255	0.0416419799177284	0.499260526977201
ENSMUSG00000025573	0	2	0	2	0	0	1	0	chr11:117797460-117807501	6030468B19Rik	-1.10650982916016	0.0416634737005639	0.499260526977201
ENSMUSG00000045917	379	544	393	471	356	363	361	366	chr4:63558581-63586557	6330416G13Rik	-0.288350451855445	0.0416908354585268	0.499260526977201
ENSMUSG00000104935	1	0	0	2	5	1	2	2	chr3:37707821-37711408	Gm43414	1.21781729809428	0.0417401590836708	0.499260526977201
ENSMUSG00000031753	2081	1990	2207	2315	1770	1939	1975	1933	chr8:110846400-110882427	Cog4	-0.172637530269462	0.0417640633827662	0.499260526977201
ENSMUSG00000070572	3	3	3	3	1	2	3	1	chr4:149457129-149457906	Trmt112-ps2	-1.151934847602	0.041790926692314	0.499260526977201
ENSMUSG00000026644	7	5	4	10	1	2	2	8	chr2:3335968-3341193	Acbd7	-1.25077727402328	0.0417910607316312	0.499260526977201
ENSMUSG00000022696	2023	1951	1818	1684	2151	2136	2064	2058	chr16:44239980-44333396	Sidt1	0.173373202618769	0.0417941599062274	0.499260526977201
ENSMUSG00000026610	857	967	1178	810	825	799	821	646	chr1:187608591-188215085	Esrrg	-0.294634841505121	0.0418086879263815	0.499260526977201
ENSMUSG00000074884	2066	2266	2403	2810	2078	2065	2064	1985	chr2:121448995-121458513	Serf2	-0.211812729949196	0.0418231123387253	0.499260526977201
ENSMUSG00000035273	33	56	36	42	39	13	25	26	chr5:100679284-100719916	Hpse	-0.762753211460881	0.0418643110243926	0.499260526977201
ENSMUSG00000049538	43	34	52	31	101	45	55	59	chr13:70727602-70842011	Adamts16	0.664178628988488	0.0418667747154745	0.499260526977201
ENSMUSG00000028261	1271	1336	1286	1317	1176	1188	1118	1192	chr4:24897883-24905201	Ndufaf4	-0.157135001152461	0.0418935282103776	0.499260526977201
ENSMUSG00000081142	0	6	3	4	0	0	0	0	chr5:138610539-138611489	Gm15497	-1.53950318095707	0.041906197366514	0.499260526977201
ENSMUSG00000036800	1021	834	842	616	1007	928	998	1111	chr15:71445478-71728038	Fam135b	0.306931745230243	0.0419099777619071	0.499260526977201
ENSMUSG00000089757	0	0	1	0	2	6	0	2	chr4:152418083-152422034	Gm16334	1.31015968054507	0.0419651384754981	0.499260526977201
ENSMUSG00000044814	1	0	4	3	0	1	1	0	chr7:102476573-102478102	Olfr543	-1.10553507080642	0.0419735822411665	0.499260526977201
ENSMUSG00000020801	313	333	327	387	301	284	288	268	chr11:72211524-72215792	Med31	-0.250092707574433	0.0419786634579898	0.499260526977201
ENSMUSG00000042485	35	46	30	51	29	25	22	29	chr14:30879057-30881808	Mustn1	-0.588152680112811	0.041983640052649	0.499260526977201
ENSMUSG00000104672	2	1	1	0	0	0	0	0	chr5:14804701-14806759	Gm43665	-1.07096548917951	0.0419947791716907	0.499260526977201
ENSMUSG00000001930	837	936	586	442	524	532	497	323	chr6:125546574-125686879	Vwf	-0.544942046297341	0.0420186021626783	0.499313968845736
ENSMUSG00000071001	19	24	28	44	24	15	10	15	chr4:43726988-43728839	Hrct1	-0.838360028263307	0.0420852202429756	0.499608550063366
ENSMUSG00000039476	21	24	32	27	16	21	15	14	chr2:30834772-30881451	Prrx2	-0.637508947465178	0.0420960823249121	0.499608550063366
ENSMUSG00000032431	221	313	228	214	193	195	215	121	chr9:114374934-114390875	Crtap	-0.4452361565844	0.0421090791814617	0.499608550063366
ENSMUSG00000031447	12837	15232	14697	17141	14293	12919	12527	12026	chr8:13158935-13175538	Lamp1	-0.206097475985485	0.0421207487047306	0.499608550063366
ENSMUSG00000104703	0	0	0	0	1	0	0	0	chr3:117968930-117973726	4921521D15Rik	0.961120366493938	0.0421419625816606	0.499630776197623
ENSMUSG00000086247	9	17	12	13	23	25	17	18	chr5:110154200-110176704	Gm15787	0.705046408071262	0.0421942979215677	0.499681244996864
ENSMUSG00000039774	33	68	53	34	28	35	25	26	chr4:47091709-47123270	Galnt12	-0.669434509013126	0.0422004496638925	0.499681244996864
ENSMUSG00000001946	444	460	475	506	497	358	379	306	chr9:37527878-37538519	Esam	-0.313325112297631	0.0422161145854348	0.499681244996864
ENSMUSG00000031333	2104	2331	2143	2274	2156	1958	1928	1811	chrX:104280457-104414056	Abcb7	-0.174309175518598	0.0422235874362528	0.499681244996864
ENSMUSG00000031212	11	10	30	13	5	9	9	6	chrX:97072396-97082304	Pgr15l	-0.98423782917415	0.0422439701351035	0.499693555160377
ENSMUSG00000035891	2932	2953	3610	2824	2793	2571	2775	2553	chr15:86138928-86186341	Cerk	-0.19877479709804	0.0422652246716617	0.499716162090484
ENSMUSG00000001420	12	8	17	7	8	7	5	1	chr3:88328455-88336348	Tmem79	-1.26770165391234	0.0423163067208283	0.499864738070565
ENSMUSG00000063445	413	653	616	650	510	399	464	428	chr16:4709859-4719556	Nmral1	-0.352342375555199	0.0423241837124583	0.499864738070565
ENSMUSG00000023393	3	3	2	4	4	15	5	6	chr2:180725063-180742480	Slc17a9	1.05676864585312	0.0423939364177209	0.499864738070565
ENSMUSG00000049521	612	804	927	909	700	614	714	552	chr15:78842447-78851102	Cdc42ep1	-0.322970123690858	0.0424004604177715	0.499864738070565
ENSMUSG00000039100	12170	12002	11191	10330	12327	12629	12674	13033	chr15:31455699-31531237	March6	0.15166731743774	0.0424068600614113	0.499864738070565
ENSMUSG00000024516	2338	2394	2397	3106	2366	2105	2119	2122	chr18:65800349-65817865	Sec11c	-0.22385010231146	0.042421144085407	0.499864738070565
ENSMUSG00000037762	125	341	239	131	126	130	130	71	chr10:70244900-70286168	Slc16a9	-0.778991914729025	0.0424245779173081	0.499864738070565
ENSMUSG00000018570	9	4	4	11	11	14	12	12	chr11:69897152-69901187	2810408A11Rik	0.944297510351129	0.0424354208491025	0.499864738070565
ENSMUSG00000021127	432	452	524	433	361	444	398	323	chr12:80107560-80113213	Zfp36l1	-0.274617970208972	0.0424519329305109	0.499864738070565
ENSMUSG00000036095	8788	6791	7152	6209	7178	8846	9029	9609	chr12:37880505-38633610	Dgkb	0.263858885808726	0.042475558839086	0.4999150738264
